state,legacy_code,legacy_section,new_code,new_section,title,keywords,source_url
telangana,IPC,420,BNS,316,Cheating and dishonestly inducing delivery of property,cheating|fraud|deception,https://www.indiacode.nic.in/
andhra pradesh,CrPC,438,BNSS,482,Anticipatory bail,anticipatory bail|pre-arrest bail|bail,https://www.indiacode.nic.in/
